,kaywords,weight
87,"dict_keys(['almentor', 'almentor net', 'net', 'person develop', 'sawari ventur', 'sawari', 'ventur', 'develop', 'learn', 'knowledg develop'])","dict_values([0.427, 0.374, 0.312, 0.15, 0.134, 0.134, 0.131, 0.119, 0.108, 0.107])"
88,"dict_keys(['patient chronic diseas', 'patient chronic', 'chronic diseas', 'chronic', 'chefaa', 'diseas', 'impact', 'patient', 'social', 'english'])","dict_values([0.186, 0.186, 0.186, 0.16, 0.16, 0.151, 0.133, 0.121, 0.119, 0.117])"
89,"dict_keys(['creativ industri', 'creativ', 'craft pioneer', 'industri', 'icealex', 'craft', 'pioneer', 'map', 'ceremoni', 'sector'])","dict_values([0.299, 0.278, 0.208, 0.196, 0.179, 0.175, 0.168, 0.164, 0.159, 0.155])"
90,"dict_keys(['real estat', 'estat', 'real', 'barek', 'real estat market', 'estat market', 'nasser', 'techn summit', 'techn', 'market'])","dict_values([0.512, 0.512, 0.303, 0.297, 0.238, 0.238, 0.112, 0.088, 0.084, 0.072])"
91,"dict_keys(['summit', 'riseup', 'riseup summit', 'attende', 'startup', 'station', 'startup station', 'journey growth', 'riseup summit host', 'speaker'])","dict_values([0.271, 0.217, 0.199, 0.168, 0.166, 0.161, 0.138, 0.133, 0.129, 0.125])"
92,"dict_keys(['startup galaxi', 'dbse', 'galaxi', 'cowork space', 'cowork', 'space', 'startup', 'startupsgalaxi com', 'startupsgalaxi', 'startup galaxi platform'])","dict_values([0.443, 0.399, 0.397, 0.278, 0.268, 0.224, 0.149, 0.133, 0.133, 0.133])"
93,"dict_keys(['slush', 'itida', 'tiec', 'startup', 'tiec select', 'tiec itida', 'showcas egypt grow', 'showcas egypt', 'itida tiec select', 'tech startup commun'])","dict_values([0.418, 0.218, 0.185, 0.167, 0.131, 0.131, 0.131, 0.131, 0.131, 0.125])"
94,"dict_keys(['ibm', 'cloud', 'startup ibm', 'startup', 'analyt', 'help', 'data', 'client', 'protect', 'secur'])","dict_values([0.681, 0.18, 0.176, 0.141, 0.116, 0.114, 0.113, 0.109, 0.098, 0.095])"
95,"dict_keys(['energi', 'award', 'project', 'energi award', 'solar power', 'energi effici', 'renew energi', 'al', 'solar', 'renew'])","dict_values([0.562, 0.278, 0.163, 0.163, 0.14, 0.14, 0.123, 0.12, 0.119, 0.119])"
96,"dict_keys(['pyramid', 'final event', 'pitch', 'startup', 'riseup', 'pitch pyramid', 'qualifi', 'pitch competit', 'earli stage startup', 'competit'])","dict_values([0.297, 0.2, 0.193, 0.167, 0.164, 0.135, 0.118, 0.117, 0.117, 0.111])"
97,"dict_keys(['good peopl', 'ali', 'good', 'kijamii', 'digit', 'agenc', 'peopl', 'independ', 'gp', 'region lead'])","dict_values([0.423, 0.321, 0.251, 0.238, 0.197, 0.188, 0.185, 0.172, 0.159, 0.141])"
98,"dict_keys(['harmonica', 'match group', 'match', 'group', 'ceo', 'put', 'flat lab', 'flat', 'sameh saleh', 'men'])","dict_values([0.535, 0.31, 0.249, 0.156, 0.104, 0.101, 0.1, 0.098, 0.097, 0.097])"
99,"dict_keys(['trolley', 'abba', 'groceri', 'menabyt', 'food', 'platform', 'expand', 'told menabyt use', 'told menabyt', 'startup current'])","dict_values([0.385, 0.257, 0.23, 0.194, 0.149, 0.128, 0.121, 0.121, 0.121, 0.121])"
100,"dict_keys(['tech booster bootcamp', 'tech booster', 'booster bootcamp', 'bootcamp', 'booster', 'intellectu', 'intellectu properti', 'next societi', 'develop busi model', 'properti'])","dict_values([0.284, 0.284, 0.284, 0.253, 0.237, 0.23, 0.169, 0.163, 0.158, 0.146])"
101,"dict_keys(['pharo', 'hold', 'pharo hold', 'prime hold', 'prime', 'taymour', 'pharo hold subsidiari', 'hold subsidiari', 'sharehold', 'subsidiari'])","dict_values([0.602, 0.319, 0.301, 0.241, 0.201, 0.16, 0.16, 0.16, 0.13, 0.119])"
102,"dict_keys(['changelab', 'ten', 'ten graduat startup', 'ten graduat', 'graduat first cohort', 'graduat first', 'graduat', 'chosen', 'demo day', 'demo'])","dict_values([0.303, 0.206, 0.169, 0.169, 0.169, 0.169, 0.163, 0.157, 0.151, 0.148])"
103,"dict_keys(['gitex', 'itida', 'tiec', 'itida tiec', 'exhibit', 'show', 'startup', 'case', 'show case', 'case egypt'])","dict_values([0.343, 0.24, 0.198, 0.16, 0.158, 0.142, 0.138, 0.131, 0.128, 0.128])"
104,"dict_keys(['trella', 'yc', 'shipper', 'real time', 'say', 'investor', 'real', 'utilis effici', 'utilis', 'truck marketplac'])","dict_values([0.476, 0.222, 0.141, 0.115, 0.091, 0.083, 0.08, 0.074, 0.074, 0.074])"
105,"dict_keys(['riseup', 'menabyt', 'acquisit', 'zubair', 'trackmena', 'startup', 'region', 'naeem', 'menabyt trackmena', 'riseup also'])","dict_values([0.442, 0.411, 0.239, 0.181, 0.181, 0.145, 0.145, 0.121, 0.121, 0.113])"
106,"dict_keys(['chefaa', 'medicin', 'aref', 'pharmaceut', 'accord menabyt', 'pharmaci', 'menabyt', 'startup', 'got', 'app'])","dict_values([0.337, 0.21, 0.183, 0.168, 0.168, 0.151, 0.148, 0.141, 0.138, 0.132])"
107,"dict_keys(['car', 'tawfiqia', 'car owner', 'spare part', 'spare', 'product', 'owner', 'blog', 'supplier', 'product supplier'])","dict_values([0.553, 0.371, 0.236, 0.17, 0.17, 0.164, 0.159, 0.156, 0.144, 0.124])"
108,"dict_keys(['vetwork', 'saudi', 'riyadh', 'pet', 'saudi arabia', 'arabia', 'huge', 'recent', 'like', 'pre seed invest'])","dict_values([0.431, 0.276, 0.268, 0.226, 0.219, 0.214, 0.17, 0.122, 0.113, 0.113])"
109,"dict_keys(['startup', 'one year', 'incub', 'incub program', 'start', 'ict', 'benefit', 'prototyp busi', 'startup graduat incub', 'startup enabl'])","dict_values([0.201, 0.154, 0.144, 0.131, 0.121, 0.12, 0.12, 0.112, 0.107, 0.107])"
