,kaywords,weight
78,"dict_keys(['سور بسس', 'بسس', 'مسس', 'لبرنمج', 'سور', 'سعد', 'دفع', 'شبب', 'علم', 'شبب سعد'])","dict_values([0.248, 0.24, 0.24, 0.167, 0.148, 0.142, 0.126, 0.125, 0.122, 0.116])"
79,"dict_keys(['لبن سلم', 'لبن سلم نمم', 'سلم نمم', 'لبن', 'سلم', 'لتكنلج بتكر', 'علم لتكنلج بتكر', 'نمم', 'علم لتكنلج', 'سبق'])","dict_values([0.369, 0.246, 0.246, 0.219, 0.213, 0.196, 0.196, 0.161, 0.152, 0.129])"
80,"dict_keys(['سبق', 'ءهل سبق', 'سبق نهء', 'ءهل', 'عمم', 'روز', 'نصص', 'روم', 'دب', 'قلم'])","dict_values([0.203, 0.174, 0.166, 0.163, 0.16, 0.147, 0.145, 0.143, 0.135, 0.129])"
81,"dict_keys(['وتش', 'وجر', 'نصص وتش', 'بيع', 'ترج', 'شرق وسط', 'طبع شخص', 'شرق', 'بيع جزء', 'رءد'])","dict_values([0.303, 0.278, 0.212, 0.175, 0.163, 0.127, 0.127, 0.124, 0.119, 0.116])"
82,"dict_keys(['جوك', 'جءز قدر', 'ءسس جوك', 'جءز قدر لفف', 'عمل رقو', 'دلر مرك', 'لفف دلر مرك', 'قدر لفف دلر', 'رقو', 'قدر لفف'])","dict_values([0.265, 0.214, 0.212, 0.199, 0.189, 0.189, 0.172, 0.172, 0.162, 0.154])"
83,"dict_keys(['علم', 'قمم علم', 'قطع علم', 'قمم علم بدع', 'فود جرب', 'علم بدع عوم', 'تماشيا', 'بدع عوم', 'قوم قمم', 'علم بدع'])","dict_values([0.281, 0.235, 0.198, 0.157, 0.157, 0.157, 0.157, 0.157, 0.149, 0.149])"
84,"dict_keys(['يدو', 'شرك يدو', 'نتشرز', 'صدل', 'نتشرز شرك', 'يداوي', 'شرك يداوي', 'شرك نتشرز', 'شرك ءمن', 'ءمن'])","dict_values([0.367, 0.284, 0.263, 0.207, 0.159, 0.142, 0.142, 0.142, 0.127, 0.127])"
85,"dict_keys(['سفر', 'ريب دزر', 'ريب', 'دزر', 'فيي', 'حجز', 'شرك ريب دزر', 'شرك ريب', 'فيي نطق', 'حجز سفر'])","dict_values([0.449, 0.299, 0.299, 0.299, 0.296, 0.205, 0.187, 0.187, 0.124, 0.112])"
86,"dict_keys(['جءز', 'فرق', 'رود عمل فرق', 'عمل فرق', 'لبرنمج', 'دلر', 'حصل', 'ضمم', 'كدم', 'رود عمل'])","dict_values([0.253, 0.212, 0.177, 0.162, 0.152, 0.147, 0.133, 0.132, 0.122, 0.12])"
87,"dict_keys(['حور', 'قمم روز', 'روز', 'قمم', 'لمل', 'ضلو', 'لقم', 'بدع', 'نشء', 'نمم'])","dict_values([0.344, 0.275, 0.236, 0.19, 0.133, 0.131, 0.127, 0.118, 0.111, 0.109])"
